ID,NombreEmpleado,Departamento,Cargo,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,Año,Notas,Oficina,TipoContrato,Sexo
33722,Alberto Diego Morales Sanchez,Operaciones (Supply),Operador de Envasado,4594,1273,856,376,6723,7099,2025,,Oficinas Administrativas,Full-Time,masculino
33723,Andrea Patricia Lopez Herrera,Sostenibilidad,Coordinador de Agro,3210,1068,460,439,4738,5177,2025,,Oficina Regional,Full-Time,femenino
33724,Julio Julio Perez Herrera,People (RRHH),Reclutador (Trainee),2562,821,877,621,4260,4881,2025,,Oficina Regional,Part-Time,masculino
33725,Laura Sofia Gonzalez Torres,Logistica,Planificador de Demanda,4019,561,343,259,4923,5182,2025,,Oficinas Administrativas,Part-Time,femenino
33726,Alberto Andres Garcia Flores,Operaciones (Supply),Analista de Calidad,3965,162,513,718,4640,5358,2025,,Oficina Regional,Part-Time,masculino
33727,Andres Juan Ramirez Herrera,Tecnologia (Tech),Analista de Datos,2300,943,864,407,4107,4514,2025,,Oficina Regional,,masculino
33728,Claudia Valentina Ramirez Vargas,Logistica,Planificador de Demanda,1655,680,872,783,3207,3990,2025,,Centros de Distribucion,Part-Time,femenino
33729,Juan Diego Castro Flores,Operaciones (Supply),Maestro Cervecero,1264,655,159,440,2078,2518,2025,,Planta Industrial (Matriz),Part-Time,masculino
33730,Alberto Fernando Perez Ortega,People (RRHH),Business Partner,935,989,984,1207,2908,4115,2025,,Oficina Regional,,masculino
33731,Sofia Valentina Vargas Castro,Logistica,Gestor de Flota,911,422,814,652,2147,2799,2025,,Centros de Distribucion,Part-Time,femenino
33732,Sofia Silvia Herrera Perez,People (RRHH),Business Partner,1392,484,119,934,1995,2929,2025,,Planta Industrial,Part-Time,femenino
33733,Valentina Veronica Ortega Lopez,Comercial / Ventas,Preventista (BEES),1432,1459,310,777,3201,3978,2025,,Planta Industrial,Full-Time,femenino
33734,Camila Veronica Garcia Perez,Comercial / Ventas,Preventista (BEES),4876,1083,998,259,6957,7216,2025,,Planta Industrial (Matriz),Part-Time,femenino
33735,Luis Sergio Ortega Perez,Tecnologia (Tech),Analista de Datos,3675,1170,965,905,5810,6715,2025,,Oficinas Administrativas,Part-Time,masculino
33736,Sofia Rosa Flores Morales,Finanzas,Controller Financiero,1426,160,75,581,1661,2242,2025,,Planta Industrial,Part-Time,femenino
33737,Diego Jorge Garcia Gonzalez,Logistica,Planificador de Demanda,2803,1324,229,1316,4356,5672,2025,,Centros de Distribucion,Part-Time,masculino
33738,Maria Ana Martinez Vargas,Logistica,Gestor de Flota,2043,964,953,915,3960,4875,2025,,Planta Industrial (Matriz),Part-Time,femenino
33739,Hugo Juan Perez Herrera,Logistica,Gestor de Flota,3259,596,618,347,4473,4820,2025,,Centros de Distribucion,,masculino
33740,Raul Miguel Delgado Delgado,Logistica,Gestor de Flota,2397,494,304,669,3195,3864,2025,,Planta Industrial,Part-Time,masculino
33741,Victor Victor Perez Rodriguez,Finanzas,Controller Financiero,3624,1212,865,1208,5701,6909,2025,,Centros de Distribucion,Full-Time,masculino
33742,Sofia Monica Ramirez Diaz,Operaciones (Supply),Operador de Envasado,2689,408,518,692,3615,4307,2025,,Oficinas Administrativas,,femenino
33743,Victor Mario Torres Ramirez,Marketing,Brand Manager,2630,1485,464,1181,4579,5760,2025,,Oficinas Administrativas,Full-Time,masculino
33744,Alberto Eduardo Garcia Castro,Marketing,Brand Manager,1515,925,823,1252,3263,4515,2025,,Oficinas Administrativas,Full-Time,masculino
33745,Luis Raul Martinez Perez,Tecnologia (Tech),Analista de Datos,3118,1263,760,561,5141,5702,2025,,Planta Industrial,Full-Time,masculino
33746,Lucia Valentina Martinez Perez,Comercial / Ventas,Key Account Manager,3034,1362,435,381,4831,5212,2025,,Planta Industrial (Matriz),Full-Time,femenino
33747,Valentina Paula Rojas Torres,Comercial / Ventas,Key Account Manager,3671,678,698,833,5047,5880,2025,,Oficinas Administrativas,Full-Time,femenino
33748,Andres Jose Rojas Martinez,Tecnologia (Tech),Analista de Datos,1745,943,61,1261,2749,4010,2025,,Oficinas Administrativas,Full-Time,masculino
33749,Diego Sergio Castro Diaz,Logistica,Gestor de Flota,4559,874,997,1195,6430,7625,2025,,Oficinas Administrativas,Full-Time,masculino
33750,Andres Miguel Gonzalez Suarez,Tecnologia (Tech),Analista de Datos,2575,1180,816,768,4571,5339,2025,,Planta Industrial (Matriz),Full-Time,masculino
33751,Laura Lucia Ramirez Perez,Sostenibilidad,Coordinador de Agro,2233,1485,163,658,3881,4539,2025,,Planta Industrial (Matriz),Part-Time,femenino
33752,Elena Rosa Diaz Martinez,People (RRHH),Reclutador (Trainee),2047,156,270,1094,2473,3567,2025,,Oficina Regional,Full-Time,femenino
33753,Camila Paula Flores Rojas,Marketing,Brand Manager,1467,1066,849,1304,3382,4686,2025,,Planta Industrial,Part-Time,femenino
33754,Ricardo Diego Morales Sanchez,Marketing,Brand Manager,1192,1387,449,915,3028,3943,2025,,Oficinas Administrativas,Full-Time,masculino
33755,Fernando Sergio Lopez Martinez,Operaciones (Supply),Maestro Cervecero,4099,456,353,812,4908,5720,2025,,Planta Industrial,Full-Time,masculino
33756,Elena Camila Diaz Gonzalez,Marketing,Trade Marketing,1558,201,914,588,2673,3261,2025,,Planta Industrial (Matriz),Part-Time,femenino
33757,Alberto Mario Gonzalez Garcia,Operaciones (Supply),Operador de Envasado,4735,154,111,1129,5000,6129,2025,,Centros de Distribucion,Full-Time,masculino
33758,Mario Sergio Herrera Perez,People (RRHH),Reclutador (Trainee),3843,557,541,239,4941,5180,2025,,Oficinas Administrativas,,masculino
33759,Gabriela Maria Suarez Suarez,Logistica,Planificador de Demanda,2608,332,583,1110,3523,4633,2025,,Planta Industrial,Full-Time,femenino
33760,Ricardo Victor Castro Morales,Operaciones (Supply),Analista de Calidad,1228,254,699,1341,2181,3522,2025,,Centros de Distribucion,Part-Time,masculino
33761,Rosa Monica Lopez Delgado,People (RRHH),Reclutador (Trainee),3399,1235,929,882,5563,6445,2025,,Oficina Regional,Part-Time,femenino
33762,Jorge Raul Perez Ortega,Marketing,Brand Manager,3828,525,65,444,4418,4862,2025,,Planta Industrial,Full-Time,masculino
33763,Elena Paula Delgado Ortega,Sostenibilidad,Coordinador de Agro,2239,671,64,1162,2974,4136,2025,,Oficinas Administrativas,,femenino
33764,Carlos Julio Herrera Flores,Tecnologia (Tech),Analista de Datos,3610,796,409,212,4815,5027,2025,,Oficina Regional,Full-Time,masculino
33765,Rafael Andres Perez Delgado,People (RRHH),Reclutador (Trainee),4096,769,934,559,5799,6358,2025,,Centros de Distribucion,Full-Time,masculino
33766,Lucia Rosa Castro Garcia,Comercial / Ventas,Key Account Manager,1517,1149,855,,3521,3521,2025,,Planta Industrial (Matriz),Full-Time,femenino
33767,Ana Gabriela Delgado Rodriguez,Logistica,Gestor de Flota,3304,385,272,384,3961,4345,2025,,Oficina Regional,Part-Time,femenino
33768,Claudia Silvia Lopez Ortega,Tecnologia (Tech),Analista de Datos,4201,210,492,1308,4903,6211,2025,,Centros de Distribucion,Full-Time,femenino
33769,Luis Fernando Suarez Garcia,Sostenibilidad,Coordinador de Agro,4538,373,72,997,4983,5980,2025,,Oficina Regional,Full-Time,masculino
33770,Eduardo Pedro Ramirez Torres,Marketing,Brand Manager,4512,566,84,1356,5162,6518,2025,,Centros de Distribucion,Part-Time,masculino
33771,Jose Pedro Gonzalez Herrera,Marketing,Trade Marketing,974,1085,26,943,2085,3028,2025,,Planta Industrial (Matriz),Full-Time,masculino
33772,Jorge Pedro Vargas Ramirez,People (RRHH),Reclutador (Trainee),2019,639,209,713,2867,3580,2025,,Planta Industrial (Matriz),Full-Time,masculino
33773,Laura Claudia Vargas Martinez,Marketing,Brand Manager,2010,999,590,949,3599,4548,2025,,Planta Industrial,Part-Time,femenino
33774,Raul Luis Vargas Mendoza,Marketing,Brand Manager,1535,1474,435,1321,3444,4765,2025,,Oficina Regional,Full-Time,masculino
33775,Veronica Patricia Torres Rojas,People (RRHH),Reclutador (Trainee),2444,1115,908,1018,4467,5485,2025,,Oficinas Administrativas,Part-Time,femenino
33776,Patricia Andrea Herrera Rodriguez,Comercial / Ventas,Key Account Manager,1590,342,857,926,2789,3715,2025,,Oficina Regional,Full-Time,femenino
33777,Camila Monica Lopez Morales,Operaciones (Supply),Maestro Cervecero,4450,1162,585,604,6197,6801,2025,,Oficinas Administrativas,Part-Time,femenino
33778,Patricia Laura Perez Perez,Comercial / Ventas,Key Account Manager,4573,937,693,410,6203,6613,2025,,Centros de Distribucion,,femenino
33779,Carmen Ana Perez Mendoza,Logistica,Gestor de Flota,1990,983,405,999,3378,4377,2025,,Oficinas Administrativas,Full-Time,femenino
33780,Juan Carlos Suarez Perez,Comercial / Ventas,Key Account Manager,2487,1339,293,797,4119,4916,2025,,Oficinas Administrativas,,masculino
33781,Jorge Luis Ortega Ramirez,Marketing,Trade Marketing,2226,267,765,344,3258,3602,2025,,Centros de Distribucion,Part-Time,masculino
33782,Jose Pedro Herrera Diaz,Finanzas,Controller Financiero,3244,669,971,600,4884,5484,2025,,Oficinas Administrativas,,masculino
33783,Carmen Natalia Perez Rodriguez,Logistica,Gestor de Flota,4011,1173,601,738,5785,6523,2025,,Oficinas Administrativas,Part-Time,femenino
33784,Jorge Mario Ortega Garcia,People (RRHH),Reclutador (Trainee),1213,764,232,436,2209,2645,2025,,Planta Industrial,Full-Time,masculino
33785,Lucia Camila Mendoza Martinez,Operaciones (Supply),Maestro Cervecero,2212,1079,207,956,3498,4454,2025,,Oficina Regional,Full-Time,femenino
33786,Juan Rafael Lopez Ramirez,Operaciones (Supply),Operador de Envasado,3067,1476,780,,5323,5323,2025,,Centros de Distribucion,Part-Time,masculino
33787,Ricardo Hugo Delgado Rojas,People (RRHH),Reclutador (Trainee),4306,902,390,573,5598,6171,2025,,Centros de Distribucion,Full-Time,masculino
33788,Gabriela Andrea Suarez Garcia,Logistica,Planificador de Demanda,1227,1293,37,1297,2557,3854,2025,,Oficinas Administrativas,Full-Time,femenino
33789,Hugo Andres Morales Rojas,Comercial / Ventas,Key Account Manager,2964,112,413,308,3489,3797,2025,,Oficina Regional,Full-Time,masculino
33790,Rosa Veronica Martinez Rojas,Comercial / Ventas,Preventista (BEES),2300,709,357,,3366,3366,2025,,Oficina Regional,Full-Time,femenino
33791,Gabriela Sofia Suarez Gonzalez,Comercial / Ventas,Key Account Manager,1704,128,410,541,2242,2783,2025,,Centros de Distribucion,Full-Time,femenino
33792,Veronica Daniela Mendoza Morales,Finanzas,Controller Financiero,848,1448,370,664,2666,3330,2025,,Oficina Regional,,femenino
33793,Eduardo Eduardo Herrera Torres,Finanzas,Controller Financiero,1157,1028,910,1203,3095,4298,2025,,Centros de Distribucion,Part-Time,masculino
33794,Sergio Raul Delgado Torres,Comercial / Ventas,Preventista (BEES),1154,676,557,430,2387,2817,2025,,Planta Industrial (Matriz),Part-Time,masculino
33795,Daniela Maria Diaz Rojas,People (RRHH),Reclutador (Trainee),3021,274,935,319,4230,4549,2025,,Centros de Distribucion,Part-Time,femenino
33796,Miguel Miguel Mendoza Lopez,Comercial / Ventas,Preventista (BEES),3294,1385,626,1376,5305,6681,2025,,Planta Industrial (Matriz),Full-Time,masculino
33797,Mario Juan Rojas Martinez,Logistica,Gestor de Flota,4581,1432,880,550,6893,7443,2025,,Planta Industrial (Matriz),Part-Time,masculino
33798,Andrea Natalia Rojas Torres,Comercial / Ventas,Key Account Manager,4164,360,849,,5373,5373,2025,,Planta Industrial (Matriz),,femenino
33799,Silvia Rosa Rojas Martinez,Comercial / Ventas,Preventista (BEES),2995,1422,144,1403,4561,5964,2025,,Oficina Regional,Full-Time,femenino
33800,Mario Jorge Suarez Rojas,Operaciones (Supply),Analista de Calidad,4626,857,291,522,5774,6296,2025,,Oficina Regional,,masculino
33801,Sofia Ana Vargas Lopez,Finanzas,Controller Financiero,2591,754,748,1024,4093,5117,2025,,Planta Industrial,Full-Time,femenino
33802,Diego Jorge Gonzalez Lopez,Logistica,Planificador de Demanda,1142,324,412,400,1878,2278,2025,,Oficinas Administrativas,Part-Time,masculino
33803,Pedro Victor Gonzalez Garcia,Tecnologia (Tech),Analista de Datos,2852,1440,786,809,5078,5887,2025,,Planta Industrial (Matriz),Full-Time,masculino
33804,Miguel Andres Rodriguez Martinez,Marketing,Brand Manager,3961,151,308,837,4420,5257,2025,,Centros de Distribucion,,masculino
33805,Maria Veronica Mendoza Vargas,Comercial / Ventas,Key Account Manager,1154,1355,985,760,3494,4254,2025,,Planta Industrial (Matriz),Part-Time,femenino
33806,Claudia Patricia Castro Morales,Marketing,Trade Marketing,2222,965,486,1442,3673,5115,2025,,Planta Industrial (Matriz),Part-Time,femenino
33807,Laura Rosa Suarez Morales,Logistica,Planificador de Demanda,2666,1224,455,433,4345,4778,2025,,Oficina Regional,Full-Time,femenino
33808,Hugo Eduardo Ramirez Castro,Finanzas,Controller Financiero,1697,771,561,311,3029,3340,2025,,Oficina Regional,Part-Time,masculino
33809,Valentina Silvia Martinez Herrera,Comercial / Ventas,Preventista (BEES),1941,134,631,852,2706,3558,2025,,Centros de Distribucion,Part-Time,femenino
33810,Mario Andres Flores Ortega,Marketing,Brand Manager,3416,1456,802,431,5674,6105,2025,,Planta Industrial (Matriz),,masculino
33811,Lucia Sofia Castro Lopez,Logistica,Gestor de Flota,951,1228,37,,2216,2216,2025,,Oficinas Administrativas,Part-Time,femenino
33812,Valentina Monica Garcia Ramirez,Comercial / Ventas,Preventista (BEES),4004,592,381,896,4977,5873,2025,,Planta Industrial,Full-Time,femenino
33813,Rosa Camila Ortega Mendoza,Finanzas,Controller Financiero,2062,,922,566,2984,3550,2025,,Planta Industrial (Matriz),Part-Time,femenino
33814,Fernando Alberto Diaz Torres,Comercial / Ventas,Key Account Manager,4016,495,478,229,4989,5218,2025,,Centros de Distribucion,,masculino
33815,Rosa Camila Martinez Vargas,Sostenibilidad,Coordinador de Agro,4354,869,532,1289,5755,7044,2025,,Centros de Distribucion,Full-Time,femenino
33816,Jorge Andres Morales Lopez,Operaciones (Supply),Analista de Calidad,2721,698,494,602,3913,4515,2025,,Oficinas Administrativas,Full-Time,masculino
33817,Laura Lucia Ramirez Morales,Comercial / Ventas,Key Account Manager,3359,798,314,,4471,4471,2025,,Centros de Distribucion,Full-Time,femenino
33818,Sofia Carmen Rodriguez Mendoza,Operaciones (Supply),Analista de Calidad,2990,1142,151,,4283,4283,2025,,Centros de Distribucion,,femenino
33819,Miguel Jorge Rojas Delgado,People (RRHH),Reclutador (Trainee),3982,516,960,807,5458,6265,2025,,Planta Industrial (Matriz),Full-Time,masculino
33820,Andrea Elena Castro Mendoza,Comercial / Ventas,Key Account Manager,4963,336,931,1218,6230,7448,2025,,Oficina Regional,Full-Time,femenino
33821,Silvia Sofia Gonzalez Perez,Operaciones (Supply),Operador de Envasado,1342,189,504,507,2035,2542,2025,,Oficina Regional,Part-Time,femenino
33822,Andrea Veronica Rojas Gonzalez,Operaciones (Supply),Maestro Cervecero,1912,792,163,228,2867,3095,2025,,Oficina Regional,Part-Time,femenino
33823,Alberto Mario Herrera Rodriguez,People (RRHH),Business Partner,3027,830,795,1111,4652,5763,2025,,Planta Industrial (Matriz),,masculino
33824,Pedro Sergio Martinez Mendoza,Marketing,Brand Manager,3171,476,873,802,4520,5322,2025,,Oficinas Administrativas,Part-Time,masculino
33825,Lucia Laura Ramirez Rodriguez,Comercial / Ventas,Key Account Manager,1296,577,629,972,2502,3474,2025,,Centros de Distribucion,,femenino
33826,Sergio Hugo Ortega Diaz,Logistica,Gestor de Flota,2965,1387,277,694,4629,5323,2025,,Planta Industrial (Matriz),Part-Time,masculino
33827,Ana Silvia Rodriguez Gonzalez,Operaciones (Supply),Operador de Envasado,3346,211,499,,4056,4056,2025,,Planta Industrial,Part-Time,femenino
33828,Natalia Silvia Garcia Flores,Marketing,Trade Marketing,2676,700,899,831,4275,5106,2025,,Centros de Distribucion,Full-Time,femenino
33829,Sofia Natalia Delgado Perez,Finanzas,Controller Financiero,4869,713,990,1392,6572,7964,2025,,Planta Industrial,Full-Time,femenino
33830,Claudia Gabriela Garcia Torres,Operaciones (Supply),Operador de Envasado,4204,373,609,,5186,5186,2025,,Oficina Regional,Full-Time,femenino
33831,Laura Lucia Herrera Rodriguez,Operaciones (Supply),Analista de Calidad,3658,973,427,920,5058,5978,2025,,Oficina Regional,Part-Time,femenino
33832,Pedro Pedro Ortega Lopez,People (RRHH),Reclutador (Trainee),4249,1433,885,,6567,6567,2025,,Centros de Distribucion,Full-Time,masculino
33833,Sofia Paula Sanchez Flores,Operaciones (Supply),Operador de Envasado,2952,1494,592,,5038,5038,2025,,Planta Industrial (Matriz),Full-Time,femenino
33834,Julio Mario Vargas Garcia,Operaciones (Supply),Operador de Envasado,4824,408,822,1095,6054,7149,2025,,Oficinas Administrativas,Full-Time,masculino
33835,Andrea Sofia Sanchez Morales,Tecnologia (Tech),Analista de Datos,3231,734,326,527,4291,4818,2025,,Oficinas Administrativas,Part-Time,femenino
33836,Luis Ricardo Perez Perez,Comercial / Ventas,Key Account Manager,816,889,350,,2055,2055,2025,,Oficina Regional,Part-Time,masculino
33837,Valentina Valentina Ramirez Perez,Finanzas,Controller Financiero,2026,661,36,1242,2723,3965,2025,,Oficinas Administrativas,,femenino
33838,Eduardo Jose Lopez Diaz,Logistica,Gestor de Flota,1834,154,140,1452,2128,3580,2025,,Centros de Distribucion,Part-Time,masculino
33839,Andrea Gabriela Herrera Rojas,Operaciones (Supply),Analista de Calidad,2456,113,218,1090,2787,3877,2025,,Oficina Regional,,femenino
33840,Lucia Veronica Lopez Suarez,Finanzas,Controller Financiero,4204,139,663,1123,5006,6129,2025,,Planta Industrial,,femenino
33841,Sofia Natalia Rodriguez Rodriguez,Comercial / Ventas,Key Account Manager,3704,725,601,816,5030,5846,2025,,Centros de Distribucion,Full-Time,femenino
33842,Elena Gabriela Herrera Perez,People (RRHH),Reclutador (Trainee),1019,1163,970,652,3152,3804,2025,,Centros de Distribucion,,femenino
33843,Elena Camila Ortega Ramirez,Operaciones (Supply),Operador de Envasado,3021,825,989,,4835,4835,2025,,Planta Industrial (Matriz),Part-Time,femenino
33844,Rosa Valentina Sanchez Suarez,Operaciones (Supply),Operador de Envasado,3639,849,833,1473,5321,6794,2025,,Oficina Regional,Full-Time,femenino
33845,Julio Julio Morales Castro,Comercial / Ventas,Key Account Manager,1124,536,295,811,1955,2766,2025,,Planta Industrial (Matriz),Full-Time,masculino
33846,Hugo Andres Torres Diaz,Comercial / Ventas,Preventista (BEES),2556,201,600,1144,3357,4501,2025,,Oficinas Administrativas,,masculino
33847,Mario Julio Rojas Suarez,Logistica,Gestor de Flota,2523,1447,248,447,4218,4665,2025,,Oficina Regional,Full-Time,masculino
33848,Andrea Veronica Rojas Herrera,Comercial / Ventas,Preventista (BEES),813,811,241,,1865,1865,2025,,Oficinas Administrativas,Full-Time,femenino
33849,Jose Andres Gonzalez Morales,Finanzas,Controller Financiero,3573,735,232,1412,4540,5952,2025,,Planta Industrial,Full-Time,masculino
33850,Elena Elena Morales Torres,Marketing,Brand Manager,4431,1378,499,800,6308,7108,2025,,Centros de Distribucion,Part-Time,femenino
33851,Alberto Diego Herrera Perez,Operaciones (Supply),Operador de Envasado,3810,392,17,615,4219,4834,2025,,Oficinas Administrativas,Part-Time,masculino
33852,Carmen Elena Delgado Vargas,People (RRHH),Business Partner,3927,1076,470,1336,5473,6809,2025,,Centros de Distribucion,,femenino
33853,Laura Andrea Delgado Herrera,Tecnologia (Tech),Analista de Datos,2294,1384,984,979,4662,5641,2025,,Centros de Distribucion,Part-Time,femenino
33854,Silvia Veronica Torres Rodriguez,Comercial / Ventas,Preventista (BEES),2813,305,118,212,3236,3448,2025,,Oficinas Administrativas,Part-Time,femenino
33855,Miguel Carlos Herrera Ortega,Comercial / Ventas,Key Account Manager,1743,1398,778,1127,3919,5046,2025,,Centros de Distribucion,Part-Time,masculino
33856,Hugo Eduardo Torres Martinez,Logistica,Gestor de Flota,3581,366,641,1004,4588,5592,2025,,Centros de Distribucion,Part-Time,masculino
33857,Alberto Luis Morales Gonzalez,People (RRHH),Reclutador (Trainee),1932,1402,17,341,3351,3692,2025,,Planta Industrial,Part-Time,masculino
33858,Gabriela Ana Rodriguez Castro,Operaciones (Supply),Operador de Envasado,1069,749,455,916,2273,3189,2025,,Oficinas Administrativas,Full-Time,femenino
33859,Rosa Lucia Ortega Morales,Finanzas,Controller Financiero,1511,914,687,1155,3112,4267,2025,,Oficinas Administrativas,Full-Time,femenino
33860,Silvia Valentina Rojas Rojas,Comercial / Ventas,Key Account Manager,2554,615,260,684,3429,4113,2025,,Oficina Regional,,femenino
33861,Silvia Andrea Martinez Delgado,Operaciones (Supply),Operador de Envasado,1982,629,95,1442,2706,4148,2025,,Planta Industrial,,femenino
33862,Juan Fernando Rodriguez Suarez,Finanzas,Controller Financiero,1744,450,48,911,2242,3153,2025,,Planta Industrial (Matriz),Part-Time,masculino
33863,Rafael Victor Suarez Flores,Finanzas,Controller Financiero,1928,153,876,460,2957,3417,2025,,Planta Industrial,Part-Time,masculino
33864,Silvia Silvia Lopez Mendoza,People (RRHH),Reclutador (Trainee),1606,450,471,1240,2527,3767,2025,,Oficina Regional,Part-Time,femenino
33865,Alberto Pedro Rodriguez Morales,Operaciones (Supply),Maestro Cervecero,4553,151,543,1023,5247,6270,2025,,Centros de Distribucion,Full-Time,masculino
33866,Carmen Maria Mendoza Martinez,Sostenibilidad,Coordinador de Agro,3275,601,412,433,4288,4721,2025,,Oficina Regional,Part-Time,femenino
33867,Andrea Andrea Sanchez Flores,Operaciones (Supply),Maestro Cervecero,2484,502,505,1162,3491,4653,2025,,Planta Industrial (Matriz),Full-Time,femenino
33868,Sergio Jose Lopez Flores,People (RRHH),Business Partner,2508,372,102,532,2982,3514,2025,,Oficina Regional,Part-Time,masculino
33869,Jose Diego Castro Mendoza,Finanzas,Controller Financiero,2999,841,738,,4578,4578,2025,,Oficinas Administrativas,Part-Time,masculino
33870,Ana Rosa Lopez Torres,Tecnologia (Tech),Analista de Datos,3812,1015,876,1428,5703,7131,2025,,Oficina Regional,Full-Time,femenino
33871,Ricardo Andres Mendoza Lopez,Logistica,Planificador de Demanda,2643,1119,842,412,4604,5016,2025,,Oficina Regional,,masculino
33872,Miguel Rafael Rodriguez Perez,Comercial / Ventas,Preventista (BEES),2794,205,504,519,3503,4022,2025,,Centros de Distribucion,Part-Time,masculino
33873,Lucia Claudia Ortega Delgado,Tecnologia (Tech),Analista de Datos,4382,1084,196,1147,5662,6809,2025,,Oficina Regional,Part-Time,femenino
33874,Lucia Veronica Rodriguez Morales,Logistica,Planificador de Demanda,2237,734,443,1077,3414,4491,2025,,Centros de Distribucion,Full-Time,femenino
33875,Fernando Ricardo Gonzalez Martinez,Operaciones (Supply),Analista de Calidad,4535,749,760,374,6044,6418,2025,,Planta Industrial,Full-Time,masculino
33876,Monica Laura Rojas Castro,Logistica,Gestor de Flota,1918,273,396,1362,2587,3949,2025,,Oficinas Administrativas,Part-Time,femenino
33877,Pedro Raul Lopez Herrera,Comercial / Ventas,Key Account Manager,3949,453,779,637,5181,5818,2025,,Centros de Distribucion,Part-Time,masculino
33878,Paula Ana Castro Morales,Operaciones (Supply),Operador de Envasado,3539,219,664,,4422,4422,2025,,Oficinas Administrativas,Full-Time,femenino
33879,Gabriela Monica Herrera Morales,Comercial / Ventas,Key Account Manager,4610,446,711,1104,5767,6871,2025,,Centros de Distribucion,Full-Time,femenino
33880,Sofia Andrea Morales Rojas,Finanzas,Controller Financiero,3680,1230,164,1062,5074,6136,2025,,Planta Industrial (Matriz),Part-Time,femenino
33881,Claudia Daniela Garcia Martinez,People (RRHH),Business Partner,1557,548,654,,2759,2759,2025,,Oficinas Administrativas,Full-Time,femenino
33882,Luis Alberto Morales Sanchez,People (RRHH),Business Partner,1239,812,460,657,2511,3168,2025,,Centros de Distribucion,Full-Time,masculino
33883,Patricia Andrea Garcia Ramirez,Logistica,Gestor de Flota,3128,1485,977,723,5590,6313,2025,,Centros de Distribucion,Full-Time,femenino
33884,Ricardo Pedro Lopez Rojas,Operaciones (Supply),Operador de Envasado,2395,796,968,1366,4159,5525,2025,,Planta Industrial (Matriz),Part-Time,masculino
33885,Julio Alberto Herrera Mendoza,Logistica,Gestor de Flota,3078,600,664,384,4342,4726,2025,,Oficina Regional,Full-Time,masculino
33886,Veronica Claudia Castro Sanchez,Tecnologia (Tech),Analista de Datos,1737,166,727,1103,2630,3733,2025,,Centros de Distribucion,Full-Time,femenino
33887,Daniela Elena Martinez Diaz,Marketing,Brand Manager,3531,462,135,423,4128,4551,2025,,Centros de Distribucion,Part-Time,femenino
33888,Laura Claudia Sanchez Torres,People (RRHH),Reclutador (Trainee),1255,546,86,215,1887,2102,2025,,Centros de Distribucion,Part-Time,femenino
33889,Julio Jose Morales Flores,Marketing,Brand Manager,2252,1397,631,1195,4280,5475,2025,,Oficinas Administrativas,Part-Time,masculino
33890,Claudia Elena Garcia Morales,Marketing,Trade Marketing,3952,395,203,987,4550,5537,2025,,Centros de Distribucion,Full-Time,femenino
33891,Victor Rafael Castro Flores,People (RRHH),Reclutador (Trainee),1027,710,540,1448,2277,3725,2025,,Oficina Regional,Part-Time,masculino
33892,Fernando Mario Delgado Vargas,Comercial / Ventas,Key Account Manager,2319,456,297,827,3072,3899,2025,,Oficinas Administrativas,Part-Time,masculino
33893,Paula Andrea Sanchez Flores,Logistica,Planificador de Demanda,2909,158,897,879,3964,4843,2025,,Oficina Regional,Full-Time,femenino
33894,Diego Hugo Sanchez Rojas,Operaciones (Supply),Analista de Calidad,4441,1145,308,566,5894,6460,2025,,Oficinas Administrativas,Full-Time,masculino
33895,Diego Jose Morales Martinez,Operaciones (Supply),Operador de Envasado,3141,354,915,870,4410,5280,2025,,Oficinas Administrativas,Part-Time,masculino
33896,Hugo Victor Gonzalez Diaz,Comercial / Ventas,Preventista (BEES),4950,658,366,656,5974,6630,2025,,Centros de Distribucion,Part-Time,masculino
33897,Ana Patricia Castro Castro,Marketing,Brand Manager,2009,989,683,,3681,3681,2025,,Centros de Distribucion,Full-Time,femenino
33898,Gabriela Paula Rojas Herrera,Marketing,Trade Marketing,1435,1081,88,236,2604,2840,2025,,Oficinas Administrativas,Part-Time,femenino
33899,Victor Carlos Ramirez Rojas,Logistica,Planificador de Demanda,3971,960,295,1075,5226,6301,2025,,Planta Industrial (Matriz),Full-Time,masculino
33900,Mario Jose Mendoza Morales,Operaciones (Supply),Maestro Cervecero,3555,504,833,1028,4892,5920,2025,,Oficina Regional,,masculino
33901,Paula Laura Vargas Martinez,Marketing,Brand Manager,2006,713,550,1082,3269,4351,2025,,Oficina Regional,Full-Time,femenino
33902,Laura Monica Garcia Suarez,Marketing,Brand Manager,2147,437,615,303,3199,3502,2025,,Planta Industrial,Part-Time,femenino
33903,Paula Ana Mendoza Flores,Operaciones (Supply),Analista de Calidad,2637,281,546,1291,3464,4755,2025,,Centros de Distribucion,Part-Time,femenino
33904,Ricardo Victor Rodriguez Gonzalez,People (RRHH),Business Partner,3857,814,824,1238,5495,6733,2025,,Oficina Regional,Part-Time,masculino
33905,Carlos Pedro Perez Vargas,Marketing,Trade Marketing,2600,407,874,1444,3881,5325,2025,,Planta Industrial,Full-Time,masculino
33906,Julio Alberto Diaz Martinez,Logistica,Gestor de Flota,885,995,891,1098,2771,3869,2025,,Centros de Distribucion,Full-Time,masculino
33907,Sofia Patricia Sanchez Suarez,Comercial / Ventas,Preventista (BEES),3522,808,51,1404,4381,5785,2025,,Planta Industrial,Full-Time,femenino
